박경수,KT,2023,0.2,107,221,185,12,37,13,0,1,53,12,5,0
강현우,KT,2023,0.194,53,111,103,11,20,6,0,1,29,11,1,0
강민성,KT,2023,0.182,12,27,22,2,4,1,0,0,5,0,1,0
장준원,KT,2023,0.172,69,104,87,10,15,2,1,1,22,10,3,1
이상호,KT,2023,0.148,63,60,54,15,8,1,0,0,9,5,4,0
이시원,KT,2023,0.138,29,32,29,4,4,0,0,0,4,1,1,0
류현인,KT,2023,0.13,17,24,23,6,3,0,0,0,3,3,0,0
송민섭,KT,2023,0.13,69,25,23,6,3,0,0,0,3,0,0,0
손민석,KT,2023,0.1,9,12,10,2,1,0,0,0,1,1,0,0
김정민,SSG,2023,0.5,8,2,2,1,1,0,0,0,1,0,0,0
에레디아,SSG,2023,0.323,122,523,473,76,153,29,0,12,218,76,1,1
하재훈,SSG,2023,0.303,77,229,201,35,61,10,1,7,94,35,2,2
최정,SSG,2023,0.297,128,552,471,94,140,31,0,29,258,87,1,6
최항,SSG,2023,0.286,21,35,28,3,8,1,0,1,12,6,1,1
한유섬,SSG,2023,0.273,109,388,333,29,91,15,2,7,131,55,2,7
최지훈,SSG,2023,0.268,117,503,462,65,124,19,8,2,165,30,8,1
김성현,SSG,2023,0.268,112,354,310,35,83,14,0,1,100,27,13,2
최준우,SSG,2023,0.267,38,69,60,5,16,1,0,0,17,6,0,1
박성한,SSG,2023,0.266,128,529,459,53,122,19,0,9,168,47,7,4
강진성,SSG,2023,0.261,58,145,134,10,35,6,1,3,52,17,1,1
추신수,SSG,2023,0.254,112,462,382,65,97,17,1,12,152,41,0,2
안상현,SSG,2023,0.241,58,66,58,10,14,3,0,0,17,2,3,0
오태곤,SSG,2023,0.239,123,305,272,37,65,14,1,7,102,28,8,3
최상민,SSG,2023,0.235,51,41,34,5,8,0,0,0,8,3,2,1
최주환,SSG,2023,0.235,134,478,426,48,100,24,0,20,184,63,1,3
김찬형,SSG,2023,0.229,36,53,48,6,11,3,0,1,17,5,2,0
김강민,SSG,2023,0.226,70,166,137,20,31,3,0,2,40,7,2,3
김민식,SSG,2023,0.218,122,318,266,28,58,9,1,5,84,34,17,2
전의산,SSG,2023,0.201,56,153,134,11,27,6,0,4,45,21,0,1
조형우,SSG,2023,0.185,62,133,119,9,22,4,1,2,34,12,4,1
이정범,SSG,2023,0.172,15,33,29,2,5,0,0,0,5,4,0,2
최경모,SSG,2023,0.15,28,20,20,6,3,0,0,0,3,1,0,0
이재원,SSG,2023,0.091,27,48,44,3,4,1,0,0,5,2,1,1
이흥련,SSG,2023,0.071,16,17,14,1,1,0,0,1,4,2,1,0
손아섭,NC,2023,0.339,140,609,551,97,187,36,3,5,244,65,1,5
박한결,NC,2023,0.333,12,18,15,3,5,1,0,1,9,5,0,0
박건우,NC,2023,0.319,130,533,458,70,146,34,2,12,220,85,1,9
박민우,NC,2023,0.316,124,509,452,76,143,20,7,2,183,46,5,3
서호철,NC,2023,0.287,114,435,397,50,114,17,3,5,152,41,6,4
박대온,NC,2023,0.286,25,33,28,6,8,3,0,0,11,3,0,1
권희동,NC,2023,0.285,96,373,309,33,88,16,0,7,125,63,4,5
마틴,NC,2023,0.283,118,503,435,55,123,20,2,17,198,90,0,10
최보성,NC,2023,0.263,12,21,19,2,5,0,0,0,5,0,0,0
최정원,NC,2023,0.26,39,56,50,12,13,3,2,0,20,5,2,0
윤형준,NC,2023,0.252,82,236,218,17,55,12,1,5,84,27,2,3
천재환,NC,2023,0.239,78,179,163,12,39,7,1,2,54,17,2,2
김형준,NC,2023,0.236,26,82,72,10,17,2,0,6,37,13,1,0
오영수,NC,2023,0.236,70,238,208,21,49,9,1,4,72,24,5,3
도태훈,NC,2023,0.234,117,302,239,41,56,6,0,5,77,23,7,1
김주원,NC,2023,0.233,127,474,403,56,94,9,2,10,137,54,8,4
김성욱,NC,2023,0.223,93,204,179,28,40,10,0,6,68,16,3,1
김한별,NC,2023,0.216,79,105,97,8,21,0,1,0,23,4,2,0
김수윤,NC,2023,0.214,16,15,14,0,3,0,0,0,3,2,0,0
박세혁,NC,2023,0.211,88,283,242,35,51,9,3,6,84,32,6,1
조현진,NC,2023,0.2,10,5,5,0,1,0,0,0,1,0,0,0
한석현,NC,2023,0.2,27,66,60,5,12,1,0,0,13,2,2,0
안중열,NC,2023,0.195,77,177,154,15,30,6,0,4,48,17,3,2
박석민,NC,2023,0.193,30,107,88,9,17,1,0,1,21,8,1,1
박주찬,NC,2023,0.143,5,14,14,1,2,0,0,0,2,0,0,0
오장한,NC,2023,0.143,3,8,7,2,1,0,0,0,1,0,0,0
박영빈,NC,2023,0.071,41,17,14,11,1,1,0,0,2,0,2,0
김시훈,NC,2023,0,1,0,0,0,0,0,0,0,0,0,0,0
류진욱,NC,2023,0,2,0,0,0,0,0,0,0,0,0,0,0
