113,이철민,LG,내야수,22/2/04,177cm,95kg,강남초-선린중-선린인터넷고
108,임정균,LG,투수,10/5/04,190cm,92kg,양정초-대천중-부산고
20,임정우,LG,투수,2/4/91,183cm,77kg,서울도곡초-영동중-서울고-SK
1,임찬규,LG,투수,20/11/92,185cm,80kg,가동초-청원중-휘문고-LG-경찰
43,전준호,LG,포수,1/7/98,181cm,80kg,양도초-강남중-청원고
18,정우영,LG,투수,19/8/99,193cm,85kg,가평초-강남중-서울고
7,정주현,LG,내야수,13/10/90,176cm,76kg,대구대현초-경상중-대구고-LG-상무
101,조건희,LG,투수,26/3/02,184cm,84kg,계상초(노원구리틀)-상명중-서울고
49,조원태,LG,투수,10/5/03,186cm,92kg,토성초(강동구리틀)-건대부중-선린인터넷고
21,진해수,LG,투수,26/6/86,187cm,85kg,동삼초-경남중-부경고-KIA-상무-KIA-SK
13,최동환,LG,투수,19/9/89,184cm,83kg,인헌초-선린중-경동고
38,최민창,LG,외야수,16/4/96,179cm,76kg,강남초-선린중-신일고
56,최성훈,LG,투수,11/10/89,178cm,75kg,가동초-잠신중-경기고-경희대
62,최승민,LG,외야수,1/7/96,181cm,73kg,서울학동초-대치중-신일고-상무-NC
118,최원영,LG,외야수,18/7/03,174cm,76kg,부산수영초-사직중-부산고
53,최원태,LG,투수,7/1/97,184cm,104kg,인헌초(용산구리틀)-서울경원중-서울고-히어로즈-키움
67,최현준,LG,내야수,5/4/99,178cm,73kg,효제초-배재중-서울고
3,켈리,LG,투수,4/10/89,191cm,98kg,미국 Sarasota(고)
45,플럿코,LG,투수,3/10/91,190cm,95kg,미국 UCLA(대)
119,하영진,LG,투수,28/2/01,182cm,80kg,안산상록초-원주중-원주고
11,함덕주,LG,투수,13/1/95,181cm,78kg,일산초-원주중-원주고-두산
121,함창건,LG,외야수,18/8/01,176cm,83kg,백운초-충암중-충암고
30,허도환,LG,포수,31/7/84,176cm,87kg,서울학동초-서울이수중-서울고-단국대-두산-히어로즈-한화-SK-KT
